RENTAL_ZONE_HAL_ID;"RENTAL_ZONE_HAL_SRC";"NAME";"TYPE";"CITY";"COUNTRY";"POI_AIRPORT_X";POI_LONG_DISTANCE_TRAINS_X;POI_SUBURBAN_TRAINS_X;POI_UNDERGROUND_X;"CLASSIFICATION";"RENTAL_ZONE_GROUP";"CODE";"COMPANY";"COMPANY_GROUP";"FRANCHISE";ACTIVE_X;"RENTAL_ZONE_GROUP_X";"RENTAL_ZONE_X_COORDINATE";"RENTAL_ZONE_Y_COORDINATE"
54372;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Goetheplatz";"";"";"Call a Bike";"";1;"J";"11,558055560000000";"48,129444440000000"
54464;"Standort";"";"normal";"Frankfurt am Main";"DE";"0";0;0;0;"Call a Bike";"BSC Commerzbank Reserverouter";"60009900";"";"Call a Bike";"";1;"J";;
54487;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Münchner Freiheit";"";"";"Call a Bike";"";1;"J";"11,587615096200000";"48,163637812200000"
54567;"Standort";"Innenstadt";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"The Coffee Store";"";"";"Call a Bike";"";1;"J";"6,952250420600000";"50,939732973000000"
62444;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7420 Böheimstraße";"7420";"";"Call a Bike";"";1;"J";"9,153930000000000";"48,759370000000000"
62685;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7410 Erwin-Schoettle-Platz";"7410";"";"Call a Bike";"";1;"J";"9,160030000000000";"48,762100000000000"
62689;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7400 Marienplatz";"7400";"";"Call a Bike";"";1;"J";"9,168110000000000";"48,764500000000000"
62718;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7310 Schwabstraße";"7310";"";"Call a Bike";"";1;"J";"9,158680000000000";"48,770800000000000"
62721;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7315 Feuersee";"7315";"";"Call a Bike";"";1;"J";"9,164370000000000";"48,772300000000000"
62724;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7130 Tübinger Straße";"7130";"";"Call a Bike";"";1;"J";"9,173041897275350";"48,770695127281910"
62726;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7140 Wilhelmsplatz";"7140";"";"Call a Bike";"";1;"J";"9,178740000000000";"48,771100000000000"
62728;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7120 Rotebühlplatz";"7120";"";"Call a Bike";"";1;"J";"9,171955602624319";"48,774812459613656"
62969;"Standort";"";"normal";"Stuttgart";"DE";"0";0;0;0;"Call a Bike";"7110 Eberhardstraße";"7110";"";"Call a Bike";"";1;"J";"9,178010000000000";"48,773200000000000"
